"File","Line","Method","Key","Len"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1051","getBool","periodic_bms_reset","18"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","512","getUShort","max_precharge_ms","16"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","688","getUChar","cells_per_module","16"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1045","getBool","control_enabled","15"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","377","getBool","double_enabled","14"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","391","getBytes","dns_secondary","13"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","434","putBytes","dns_secondary","13"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","515","getBool","ext_precharge","13"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","689","getUShort","voltage_level","13"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","886","getUShort","pylon_send_ms","13"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","887","getBool","canfd_classic","13"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","513","getUShort","precharge_ms","12"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","514","getUChar","eq_stop_type","12"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","691","getUChar","battery_type","12"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","390","getBytes","dns_primary","11"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","433","putBytes","dns_primary","11"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","368","getUInt","capacity_wh","11"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","369","getUInt","max_volt_mv","11"
